

Microchip Technology PIC18 LITE Macro Assembler V1.32 build 58300 
                                                                                               Wed Aug 06 11:02:16 2014

Microchip Technology Omniscient Code Generator (Lite mode) build 58300
     1                           	processor	18F2550
     2                           	fnconf	rparam,??,?,0
     3                           	opt	pw 120
     4                           	opt	lm
     5                           	psect	idataCOMRAM,global,class=CODE,delta=1
     6                           	psect	idataBANK0,global,class=CODE,delta=1
     7                           	psect	smallconst,global,reloc=2,class=SMALLCONST,delta=1
     8                           	psect	cinit,global,reloc=2,class=CODE,delta=1
     9                           	psect	bssCOMRAM,global,class=COMRAM,space=1,delta=1
    10                           	psect	dataCOMRAM,global,class=COMRAM,space=1,delta=1
    11                           	psect	dataBANK0,global,class=BANK0,space=1,delta=1
    12                           	psect	cstackCOMRAM,global,class=COMRAM,space=1,delta=1
    13                           	psect	text0,global,reloc=2,class=CODE,delta=1
    14                           	psect	text1,global,reloc=2,class=CODE,delta=1
    15                           	psect	text2,global,reloc=2,class=CODE,delta=1
    16                           	psect	text3,global,reloc=2,class=CODE,delta=1
    17                           	psect	text4,global,reloc=2,class=CODE,delta=1
    18                           	psect	text5,global,reloc=2,class=CODE,delta=1
    19                           	psect	text6,global,reloc=2,class=CODE,delta=1
    20                           	psect	text7,global,reloc=2,class=CODE,delta=1
    21                           	psect	text8,global,reloc=2,class=CODE,delta=1
    22                           	psect	text9,global,reloc=2,class=CODE,delta=1
    23                           	psect	text10,global,reloc=2,class=CODE,delta=1
    24                           	psect	text11,global,reloc=2,class=CODE,delta=1
    25                           	psect	text12,global,reloc=2,class=CODE,delta=1
    26                           	psect	text13,global,reloc=2,class=CODE,delta=1
    27                           	psect	text14,global,reloc=2,class=CODE,delta=1
    28                           	psect	text15,global,reloc=2,class=CODE,delta=1
    29                           	psect	text16,global,reloc=2,class=CODE,delta=1
    30                           	psect	text17,global,reloc=2,class=CODE,delta=1
    31                           	psect	text18,global,reloc=2,class=CODE,delta=1
    32                           	psect	text19,global,reloc=2,class=CODE,delta=1
    33                           	psect	text20,global,reloc=2,class=CODE,delta=1
    34                           	psect	text21,global,reloc=2,class=CODE,delta=1
    35                           	psect	text22,global,reloc=2,class=CODE,delta=1
    36                           	psect	text23,global,reloc=2,class=CODE,delta=1
    37                           	psect	text24,global,reloc=2,class=CODE,delta=1
    38                           	psect	intsave_regs,global,class=BIGRAM,space=1,delta=1
    39                           	psect	rparam,global,class=COMRAM,space=1,delta=1
    40  0000                     
    41                           	psect	idataCOMRAM
    42  001960                     __pidataCOMRAM:
    43                           	opt stack 0
    44                           
    45                           ;initializer for _incrementValue
    46  001960  0008               	dw	8
    47                           
    48                           	psect	idataBANK0
    49  001732                     __pidataBANK0:
    50                           	opt stack 0
    51                           
    52                           ;initializer for _firstLine1
    53  001732  4D                 	db	77
    54  001733  6F                 	db	111
    55  001734  64                 	db	100
    56  001735  65                 	db	101
    57  001736  20                 	db	32
    58  001737  3D                 	db	61
    59  001738  20                 	db	32
    60  001739  52                 	db	82
    61  00173A  65                 	db	101
    62  00173B  61                 	db	97
    63  00173C  6C                 	db	108
    64  00173D  20                 	db	32
    65  00173E  54                 	db	84
    66  00173F  69                 	db	105
    67  001740  6D                 	db	109
    68  001741  65                 	db	101
    69  001742  20                 	db	32
    70  001743  56                 	db	86
    71  001744  61                 	db	97
    72  001745  6C                 	db	108
    73  001746  75                 	db	117
    74  001747  65                 	db	101
    75  001748  20                 	db	32
    76  001749  20                 	db	32
    77  00174A  20                 	db	32
    78                           
    79                           ;initializer for _firstLine2
    80  00174B  4D                 	db	77
    81  00174C  6F                 	db	111
    82  00174D  64                 	db	100
    83  00174E  65                 	db	101
    84  00174F  20                 	db	32
    85  001750  3D                 	db	61
    86  001751  20                 	db	32
    87  001752  4D                 	db	77
    88  001753  61                 	db	97
    89  001754  78                 	db	120
    90  001755  69                 	db	105
    91  001756  6D                 	db	109
    92  001757  75                 	db	117
    93  001758  6D                 	db	109
    94  001759  20                 	db	32
    95  00175A  56                 	db	86
    96  00175B  61                 	db	97
    97  00175C  6C                 	db	108
    98  00175D  75                 	db	117
    99  00175E  65                 	db	101
   100  00175F  20                 	db	32
   101  001760  20                 	db	32
   102  001761  20                 	db	32
   103  001762  20                 	db	32
   104  001763  20                 	db	32
   105                           
   106                           ;initializer for _secondLine
   107  001764  50                 	db	80
   108  001765  72                 	db	114
   109  001766  65                 	db	101
   110  001767  73                 	db	115
   111  001768  73                 	db	115
   112  001769  20                 	db	32
   113  00176A  53                 	db	83
   114  00176B  57                 	db	87
   115  00176C  31                 	db	49
   116  00176D  20                 	db	32
   117  00176E  74                 	db	116
   118  00176F  6F                 	db	111
   119  001770  20                 	db	32
   120  001771  63                 	db	99
   121  001772  68                 	db	104
   122  001773  61                 	db	97
   123  001774  6E                 	db	110
   124  001775  67                 	db	103
   125  001776  65                 	db	101
   126  001777  20                 	db	32
   127  001778  4D                 	db	77
   128  001779  6F                 	db	111
   129  00177A  64                 	db	100
   130  00177B  65                 	db	101
   131  00177C  20                 	db	32
   132  0000                     _ADRESH	set	4036
   133  0000                     _ADRESL	set	4035
   134  0000                     _LATAbits	set	3977
   135  0000                     _LATB	set	3978
   136  0000                     _LATBbits	set	3978
   137  0000                     _LATCbits	set	3979
   138  0000                     _PORTA	set	3968
   139  0000                     _PORTB	set	3969
   140  0000                     _PORTBbits	set	3969
   141  0000                     _PORTC	set	3970
   142  0000                     _TRISA	set	3986
   143  0000                     _TRISB	set	3987
   144  0000                     _TRISC	set	3988
   145  0000                     _ADCS0	set	32256
   146  0000                     _ADCS1	set	32257
   147  0000                     _ADFM	set	32263
   148  0000                     _ADON	set	32272
   149  0000                     _CHS0	set	32274
   150  0000                     _CHS1	set	32275
   151  0000                     _CHS2	set	32276
   152  0000                     _CHS3	set	32277
   153  0000                     _CM0	set	32160
   154  0000                     _CM1	set	32161
   155  0000                     _CM2	set	32162
   156  0000                     _GODONE	set	32273
   157  0000                     _PCFG0	set	32264
   158  0000                     _PCFG1	set	32265
   159  0000                     _PCFG2	set	32266
   160  0000                     _PCFG3	set	32267
   161  0000                     _VCFG0	set	32268
   162  0000                     _VCFG1	set	32269
   163                           
   164                           	psect	smallconst
   165  000800                     __psmallconst:
   166                           	opt stack 0
   167  000800  00                 	db	0
